combo,system,policy,length,num_samples,seed,gui_nmse_q_mean_old,gui_nmse_p_mean_old,gui_hamres_mean_old,all3_win_count_old,win_nmse_q_count_old,win_nmse_p_count_old,win_hamres_count_old,gui_nmse_q_mean_new,gui_nmse_p_mean_new,gui_hamres_mean_new,all3_win_count_new,win_nmse_q_count_new,win_nmse_p_count_new,win_hamres_count_new,d_gui_nmse_q_mean,d_gui_nmse_p_mean,d_gui_hamres_mean,all3_win_rate_old,all3_win_rate_new,d_all3_win_rate,better_q,better_p,better_h,better_all3
3dof_sinusoidal_L1050_N100_seed10,3dof,sinusoidal,1050,100,10,3.2746406334761584,0.991694565571325,0.0455939998943358,49,61,59,100,3.2742671125199907,0.9917349126598451,0.0456875182094518,49,61,59,100,-0.00037352095616771663,4.034708852018731e-05,9.351831511599656e-05,0.49,0.49,0.0,True,False,False,False
3dof_sinusoidal_L1100_N100_seed10,3dof,sinusoidal,1100,100,10,3.801150944877228,1.9134764792131145,0.1503763426933437,43,56,59,100,3.8015012412800138,1.913354794091848,0.1503681404516101,43,56,59,100,0.00035029640278594343,-0.00012168512126642383,-8.202241733618054e-06,0.43,0.43,0.0,False,True,True,False
3dof_sinusoidal_L1150_N100_seed10,3dof,sinusoidal,1150,100,10,5.824586459037112,1.2881680662962869,0.3339846474677324,40,52,51,100,5.824968762096469,1.2881435436286657,0.3341086883470416,40,52,51,100,0.0003823030593563814,-2.452266762120736e-05,0.00012404087930922847,0.4,0.4,0.0,False,True,False,False
3dof_sinusoidal_L1200_N100_seed10,3dof,sinusoidal,1200,100,10,5.38697709334915,3.387417107271867,0.5253973846137524,37,50,56,100,5.387879925433752,3.387332463528125,0.5255765776336193,37,50,56,100,0.0009028320846020677,-8.464374374206329e-05,0.00017919301986690783,0.37,0.37,0.0,False,True,False,False
3dof_gp_L50_N100_seed10,3dof,gp,50,100,10,81.06505857846432,6.666156749030425,0.1272705552307889,68,70,98,100,81.43200130200823,6.661692332049536,0.1273376674228347,68,70,98,100,0.36694272354391444,-0.004464416980889396,6.711219204580399e-05,0.68,0.68,0.0,False,True,False,False
3dof_gp_L100_N100_seed10,3dof,gp,100,100,10,14.58065756197546,0.3435967147626053,0.0049317115071607,66,67,95,100,14.581839709181365,0.3434723257093313,0.0049319693919824,66,67,95,100,0.0011821472059043714,-0.00012438905327399885,2.578848217003188e-07,0.66,0.66,0.0,False,True,False,False
3dof_gp_L150_N100_seed10,3dof,gp,150,100,10,7.063861868745004,0.0711934089245832,0.0079912803339539,70,72,97,100,7.064058728712078,0.0710691177658082,0.0079665170572116,70,72,97,100,0.0001968599670743032,-0.00012429115877500563,-2.4763276742299778e-05,0.7,0.7,0.0,False,True,True,False
3dof_gp_L200_N100_seed10,3dof,gp,200,100,10,20.05921933361993,0.0318229321541325,0.0079211773451243,71,72,95,100,19.96164699053828,0.031827359575826,0.0079158980400825,71,72,95,100,-0.09757234308164797,4.427421693500855e-06,-5.279305041801241e-06,0.71,0.71,0.0,True,False,True,False
3dof_gp_L250_N100_seed10,3dof,gp,250,100,10,10.311254475810324,0.1879896959693401,0.0186028808014816,59,60,90,100,10.295509425486552,0.1880324865891829,0.018493898937304,59,60,90,100,-0.015745050323772602,4.279061984280297e-05,-0.00010898186417759859,0.59,0.59,0.0,True,False,True,False
3dof_gp_L300_N100_seed10,3dof,gp,300,100,10,5.560005247773306,0.0242003714709275,0.0042764629039447,62,65,87,100,5.560739455265293,0.0241929333929498,0.0042821627788362,62,65,87,100,0.0007342074919867159,-7.438077977699187e-06,5.699874891500027e-06,0.62,0.62,0.0,False,True,False,False
3dof_gp_L350_N100_seed10,3dof,gp,350,100,10,5.01962549177489,0.1364736323382386,0.0084565757311065,62,66,86,100,5.014375187489158,0.136457777902314,0.0084821290208492,62,66,86,100,-0.0052503042857319215,-1.58544359245838e-05,2.5553289742701393e-05,0.62,0.62,0.0,True,True,False,False
3dof_gp_L400_N100_seed10,3dof,gp,400,100,10,10.857036441936192,0.1592927124887952,0.0045740026148268,67,72,78,100,10.945087123308047,0.1592195453317805,0.0045279766840394,67,72,78,100,0.08805068137185579,-7.31671570146919e-05,-4.6025930787400166e-05,0.67,0.67,0.0,False,True,True,False
3dof_gp_L450_N100_seed10,3dof,gp,450,100,10,5.065038781981424,0.2976171242881316,0.0081335257089813,67,74,85,100,5.060826885442983,0.2975095672611103,0.0081553088143118,67,74,85,100,-0.004211896538440563,-0.00010755702702130998,2.1783105330500444e-05,0.67,0.67,0.0,True,True,False,False
3dof_gp_L500_N100_seed10,3dof,gp,500,100,10,2.638443082720222,0.2774982627362334,0.0052655984397279,63,66,80,100,2.638768619294737,0.2775385705095818,0.0052664678383735,63,66,80,100,0.0003255365745151728,4.030777334840252e-05,8.693986456006011e-07,0.63,0.63,0.0,False,False,False,False
3dof_gp_L550_N100_seed10,3dof,gp,550,100,10,3.034834447103002,0.1706592578664485,0.007315245369682,56,58,78,100,3.033466161257561,0.1707586139111502,0.0073809681221609,56,58,78,100,-0.0013682858454413527,9.935604470168169e-05,6.57227524789002e-05,0.56,0.56,0.0,True,False,False,False
