method,length,sample_idx,rmse_p,range_p,nrmse_p
unguided_dpf,200,8,0.023334598195553124,0.7182068994746418,0.23297434539434425
guided_dpf,200,8,0.016574073338771485,0.7248918394924169,0.23998088286951427
unguided_dpf,200,9,0.04247549808790102,0.905930202643301,0.040566955919281604
guided_dpf,200,9,0.006551984756806961,0.9463927320365674,0.006411766016162696
unguided_dpf,200,10,0.012338124395010752,0.8470429008445205,0.022793655003003815
guided_dpf,200,10,0.004656612525872819,0.8505219444507254,0.006790514483497808
unguided_dpf,200,11,0.05098732885719992,0.941225689611828,0.04118004310319743
guided_dpf,200,11,0.053565961922715954,0.9717466050528478,0.046209642265483096
unguided_dpf,200,12,0.015172405789004842,0.517969503451264,0.1315262492341526
guided_dpf,200,12,0.014156572869068037,0.5281621174515772,0.12210511754058524
unguided_dpf,200,13,0.021785271759190594,0.592438449782655,0.03889982504221021
guided_dpf,200,13,0.011736942132866355,0.5911790784749922,0.019201384662381457
unguided_dpf,200,14,0.019620440480484738,0.9564024461506412,0.023824320715203396
guided_dpf,200,14,0.006999234056932994,0.948393852345295,0.008232959715645125
unguided_dpf,200,15,0.02066668911497888,0.5810347255631435,0.12033955607647555
guided_dpf,200,15,0.005890378549788774,0.5723022000448187,0.03717225772769159
unguided_dpf,200,16,0.007969432940279277,0.6857827330711664,0.08656551013899667
guided_dpf,200,16,0.00750303154047158,0.6850065679893751,0.07647858284113694
unguided_dpf,200,17,0.028954343752144004,0.9334415250622715,0.06441362757872236
guided_dpf,200,17,0.0072758794206595374,0.9540732842989262,0.009858599420772362
unguided_dpf,200,18,0.011006301049282428,0.821669956855735,0.012799507447925152
guided_dpf,200,18,0.008114559816680642,0.8248231549166049,0.009144044802788505
unguided_dpf,200,19,0.039158776575277915,1.0542803592733563,0.04100870671734067
guided_dpf,200,19,0.0067399605040754295,1.0521364786192602,0.006492992144432823
unguided_dpf,250,0,0.01598313212512626,1.1653563541683918,0.02462193698939395
guided_dpf,250,0,0.006917374490489704,1.1538592111428454,0.0072816630251539465
unguided_dpf,250,1,0.023921278609137304,1.2644183310262858,0.018534619291286535
guided_dpf,250,1,0.009956436123383289,1.2473955748882988,0.007979596180710733
unguided_dpf,250,2,0.01895016226583438,0.9312601805191839,0.10596483577653727
guided_dpf,250,2,0.020383101761357506,0.9289142199134823,0.11505436788385831
unguided_dpf,250,3,0.024440860797719316,0.951003738751473,0.2219963466757486
guided_dpf,250,3,0.012376191421103092,0.9518043188216883,0.10551282547335239
unguided_dpf,250,4,0.043679311900912766,1.1303316787866737,0.033382103055952336
guided_dpf,250,4,0.01726426468373726,1.1319927069509126,0.015231771926656182
unguided_dpf,250,5,0.012510393892281481,1.216372291847144,0.01095099819782902
guided_dpf,250,5,0.007837128766595028,1.2183617780742584,0.006337140669972381
unguided_dpf,250,6,0.018969049214537678,1.1403470711934165,0.027758528497815713
guided_dpf,250,6,0.006083423512262479,1.1390183020247098,0.0072804939830448155
unguided_dpf,250,7,0.013991366003442642,0.8801127737895523,0.022093460670548255
guided_dpf,250,7,0.017748650442531724,0.8719302757981756,0.020003098471476966
unguided_dpf,250,8,0.02588009094208052,1.1786272019840496,0.022736208986382237
guided_dpf,250,8,0.025127287588815866,1.1739522672183,0.020611275822978187
unguided_dpf,250,9,0.030772768459967254,1.057089283197448,0.03306539221589546
guided_dpf,250,9,0.011985524250652219,1.0871034035950735,0.011116975746280774
unguided_dpf,250,10,0.021804137400471824,1.1406412300841164,0.0313509624598294
guided_dpf,250,10,0.013993983017218532,1.1483370284996877,0.019636705719701407
unguided_dpf,250,11,0.025400286173796277,1.0857226203171197,0.022188438392652873
guided_dpf,250,11,0.017158393717495498,1.0932704696562487,0.020106731922494684
unguided_dpf,250,12,0.013701839873659255,1.1904292401794099,0.013501213558951173
guided_dpf,250,12,0.013537102349266679,1.1881174685195217,0.010863573305486868
unguided_dpf,250,13,0.012872998951646284,0.9746471526976498,0.012900027371446866
guided_dpf,250,13,0.013090816337534575,0.9720366063631897,0.012765562488092257
unguided_dpf,250,14,0.20840909298321134,0.6669107268809417,4.278840188014329
guided_dpf,250,14,0.019000642580859643,0.47254993356025926,0.0851806170208634
unguided_dpf,250,15,0.029705518742020504,1.3430945507541512,0.027395463079543343
guided_dpf,250,15,0.010930325667014379,1.3301118691289229,0.009234790559003624
unguided_dpf,250,16,0.013493100590828826,0.7748089051578,0.021529909035788466
guided_dpf,250,16,0.0058871875835507445,0.7730939277243882,0.006834387140511385
unguided_dpf,250,17,0.016682611675161177,1.2127182659291822,0.016588512631700334
guided_dpf,250,17,0.016261283223394544,1.1962827077958096,0.012290768788904784
unguided_dpf,250,18,0.02167224467074505,1.3262690018053334,0.015794289087465618
guided_dpf,250,18,0.005132908597891183,1.3241309171765814,0.003918300789661255
unguided_dpf,250,19,0.018839967315140614,1.217771178186747,0.01465986675327839
guided_dpf,250,19,0.006329971928908555,1.205937856467069,0.005548206658160957
unguided_dpf,300,0,0.016675955118300792,1.2123145519261447,0.01603352967197793
guided_dpf,300,0,0.043436306212424815,1.2049407718364373,0.04161033777964105
