system,policy,length,n_samples,all3_win_rate,ratio_nmse_q_mean,ratio_nmse_q_std,imp_nmse_q_mean,imp_nmse_q_std,ratio_nmse_p_mean,ratio_nmse_p_std,imp_nmse_p_mean,imp_nmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
3dof,sinusoidal,300,100,0.73,5.389521120758685,29.140146117204115,0.77,0.4229525846816507,0.893083812067849,4.31104638224736,0.92,0.27265992434429076,0.17946311423894484,0.22619313732991414,1.0,0.0
3dof,sinusoidal,350,100,0.52,12.270344935399738,71.98014303037216,0.59,0.49431107042371025,1.0836647972359246,2.888516185104729,0.82,0.38612291966536916,0.25227743823348675,0.2800736155509811,0.98,0.14070529413628968
3dof,sinusoidal,400,100,0.75,2.4792745698028615,12.545950738920785,0.82,0.38612291966536905,0.7068087427358293,2.054454186585826,0.85,0.35887028128263676,0.1804369320461974,0.2045887036232569,1.0,0.0
3dof,sinusoidal,450,100,0.68,79.97921437559746,779.7721205979597,0.72,0.451260859854213,1.20565143941722,3.314562482838977,0.8,0.4020151261036849,0.19583357221565792,0.24142915967042142,1.0,0.0
3dof,sinusoidal,500,100,0.72,2.1630086250005016,9.745705357071438,0.76,0.4292346959909279,0.5747269499453137,0.8675261469043194,0.88,0.32659863237109044,0.19822874727578557,0.23223555800892076,0.99,0.09999999999999999
3dof,sinusoidal,550,100,0.68,2.2614096876272747,10.433551342515463,0.7,0.4605661864718383,0.693653152836323,1.2391340210998212,0.81,0.3942772444036624,0.2129723465938454,0.24164823395600288,1.0,0.0
3dof,sinusoidal,600,100,0.73,2.9055868190786542,15.366826664881795,0.75,0.4351941398892446,0.8488726812738976,1.8779365896531168,0.83,0.3775251680686369,0.22979521669692127,0.23673489165067027,1.0,0.0
3dof,sinusoidal,650,100,0.69,2.5415580048815953,14.978449830435913,0.73,0.4461960433384737,0.9045749312839922,1.8378758018459895,0.79,0.40936018074033237,0.23058904577413233,0.24059310258493383,0.98,0.1407052941362897
3dof,sinusoidal,700,100,0.6,2.1731034358426147,7.726938489368207,0.64,0.4824181513244218,0.7944504853645057,1.2917900178354036,0.8,0.40201512610368484,0.2854362965147052,0.2555593933628722,1.0,0.0
3dof,sinusoidal,750,100,0.64,1.1861987133272534,2.1236619558226715,0.67,0.47258156262526074,1.4911598732235287,4.601950973461903,0.71,0.45604802157206864,0.2301575028188496,0.2079889163972313,1.0,0.0
3dof,sinusoidal,800,100,0.63,1.180203906949139,1.889880831096856,0.67,0.4725815626252608,1.949156802106337,10.527425954049486,0.75,0.4351941398892447,0.26248839906039767,0.2458996047718308,0.98,0.1407052941362897
3dof,sinusoidal,850,100,0.58,2.2565512727219486,10.768442406512976,0.7,0.46056618647183817,1.5890548158939821,3.459142160117172,0.69,0.4648231987117318,0.2801083185675143,0.2622478501402623,0.99,0.09999999999999999
3dof,sinusoidal,900,100,0.63,1.3979332468991092,3.542665432823602,0.68,0.46882617226215073,1.3080842211314525,2.293827222502739,0.76,0.42923469599092784,0.3040968688856536,0.246649095002192,1.0,0.0
3dof,sinusoidal,950,100,0.58,1.262253234639562,1.9731692935635523,0.68,0.4688261722621506,1.3281545417122473,3.013238851276673,0.7,0.4605661864718383,0.32579072025490274,0.255490770459398,0.99,0.09999999999999999
3dof,sinusoidal,1000,100,0.6,1.028839792374416,2.0638454828814043,0.69,0.46482319871173167,0.9412021362563788,1.3307687004746613,0.72,0.451260859854213,0.32825744462542383,0.2732057618918448,0.98,0.1407052941362897
3dof,spline,50,100,0.71,43.05464825207096,407.60477802750614,0.73,0.4461960433384737,0.37535035531648114,1.145250764045026,0.98,0.1407052941362897,0.2481292737029911,0.2656637531768564,0.99,0.1
3dof,spline,100,100,0.73,5.939723974380839,31.1977591187803,0.75,0.4351941398892446,0.20861340006560186,0.3971816705765934,0.94,0.23868325657594205,0.21841192152588956,0.21878782486822704,1.0,0.0
3dof,spline,150,100,0.64,5.078517593458886,21.627835157448295,0.7,0.4605661864718383,0.35995648686994275,1.1489367725603217,0.93,0.2564323999762428,0.2498106507733026,0.2742639110730107,0.98,0.14070529413628968
