system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
3dof,gp,500,100,0.66,1.0432956412877148,1.3720128421791482,0.69,0.4648231987117316,0.755385927150164,0.5102162055658287,0.8,0.40201512610368484,0.1773307719973537,0.17099427852780524,1.0,0.0
3dof,gp,550,100,0.59,1.1670755704049194,1.6210858563298112,0.6,0.4923659639173309,0.7853022842970871,0.5663494724783322,0.79,0.4093601807403325,0.22724896044973808,0.2501707165016138,1.0,0.0
3dof,gp,600,100,0.61,0.9511547182158718,0.7592675199433508,0.67,0.47258156262526096,0.8283609488166519,0.6392753015646011,0.73,0.44619604333847374,0.26635351089877385,0.2687099122829544,0.99,0.09999999999999999
3dof,gp,650,100,0.64,0.914191870795057,0.8001932794132869,0.71,0.45604802157206853,0.7547074184418346,0.4094315128431087,0.78,0.4163331998932266,0.2835296638500904,0.26473082315914775,0.99,0.09999999999999999
3dof,gp,700,100,0.6,1.0908042146503727,1.1013627619159096,0.66,0.4760952285695234,0.9310288529067984,0.8755715357206516,0.7,0.46056618647183845,0.3320041536808677,0.26438621643116905,0.99,0.1
3dof,gp,750,100,0.67,0.8702616826711858,0.62362970916186,0.71,0.4560480215720686,0.8311318440847917,0.5142011121849777,0.73,0.44619604333847374,0.30141871044415214,0.2556563385636768,0.99,0.1
3dof,gp,800,100,0.6,0.8537015923757336,0.502651541288564,0.65,0.4793724854411023,0.8455119497789214,0.47483730755957804,0.69,0.4648231987117317,0.2643325271366999,0.2240931256570965,1.0,0.0
3dof,gp,850,100,0.69,0.9427224508345563,1.2371053666204526,0.75,0.4351941398892446,0.8318361536301626,0.5464294374793507,0.77,0.42295258468165065,0.31749590811662537,0.23596471744258807,1.0,0.0
3dof,gp,900,100,0.6,0.9063644679417692,0.5888339098262958,0.69,0.4648231987117316,0.9346817796548224,0.7347544896565422,0.68,0.4688261722621506,0.30247505734542957,0.2309119793257396,0.99,0.09999999999999999
3dof,gp,950,100,0.54,1.0848046071921928,0.6936096246246223,0.62,0.48783173121456336,1.0796643137725714,0.5802478607132296,0.58,0.49604496374885815,0.36743564941832046,0.2461881653428305,1.0,0.0
3dof,gp,1000,100,0.54,0.957696312910256,0.5010236595149888,0.65,0.4793724854411023,1.006663913450205,0.5989273516191662,0.61,0.4902071300001973,0.38035020154101323,0.27890095467641124,0.99,0.1
3dof,sinusoidal,50,100,0.85,0.7027300349008694,0.5381482544963397,0.86,0.3487350880197771,0.4398498626206397,0.17021885935807224,0.99,0.09999999999999999,0.19610547812668103,0.22071510644876732,1.0,0.0
